Student,Gender,Skill level,Week 1 quiz,Week 2 quiz,Week 3 quiz,Week 4 quiz,Week 5 quiz,Week 6 quiz,Week 7 quiz,Week 8 quiz,Week 9 quiz,Week 10 quiz,Week 11 quiz,Week 12 quiz,Week 13 quiz,Week 14 quiz,Week 15 quiz,Week 16 quiz,Week 1 homework,Week 2 homework,Week 3 homework,Week 4 homework,Week 5 homework,Week 7 homework,Week 8 homework,Week 9 homework,Week 10 homework,Week 11 homework,Week 13 homework,Week 14 homework,Week 15 homework,Score,Grade,Week 1 homework maxscore,Week 1 quiz maxscore,Week 10 homework maxscore,Week 10 quiz maxscore,Week 11 homework maxscore,Week 11 quiz maxscore,Week 12 quiz maxscore,Week 13 homework maxscore,Week 13 quiz maxscore,Week 14 homework maxscore,Week 14 quiz maxscore,Week 15 homework maxscore,Week 15 quiz maxscore,Week 16 quiz maxscore,Week 2 homework maxscore,Week 2 quiz maxscore,Week 3 homework maxscore,Week 3 quiz maxscore,Week 4 homework maxscore,Week 4 quiz maxscore,Week 5 homework maxscore,Week 5 quiz maxscore,Week 6 quiz maxscore,Week 7 homework maxscore,Week 7 quiz maxscore,Week 8 homework maxscore,Week 8 quiz maxscore,Week 9 homework maxscore,Week 9 quiz maxscore
S012,M,Intermediate,4.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,F,0.5,0.5,0.5,0.5,0.5,0.46,0.43,0.44,0.5,0.5,0.48,0.5,0.5,0.39,0.5,0.5,0.5,0.45,0.43,0.48,0.0,0.48,0.48,0.48,0.5,0.5,0.5,0.5,0.45
S013,M,Proficient,1.0,6.0,14.0,6.0,7.0,3.0,5.0,4.0,5.0,6.0,4.0,5.0,2.0,4.0,1.0,0.0,0.0,3.0,20.0,9.0,13.0,3.0,17.0,13.0,5.0,0.0,0.0,0.0,0.0,95.61,A,0.5,0.5,0.5,0.49,0.5,0.44,0.47,0.5,0.4,0.5,0.45,0.47,0.16,0.39,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.48,0.45,0.5,0.49,0.5,0.5,0.5,0.46
S014,M,Intermediate,4.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,6.0,5.0,3.0,1.0,2.0,5.0,98.84,A,0.5,0.5,0.5,0.5,0.5,0.43,0.0,0.5,0.4,0.5,0.43,0.5,0.38,0.49,0.5,0.46,0.5,0.44,0.5,0.45,0.5,0.48,0.45,0.5,0.5,0.5,0.5,0.5,0.45
S015,F,Proficient,4.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,2.0,1.0,4.0,4.0,3.0,2.0,2.0,5.0,3.0,6.0,2.0,4.0,0.0,0.0,97.48,A,0.5,0.5,0.5,0.5,0.5,0.44,0.5,0.5,0.47,0.0,0.45,0.28,0.3,0.35,0.5,0.49,0.5,0.41,0.5,0.48,0.5,0.45,0.48,0.5,0.49,0.02,0.48,0.5,0.48
S016,M,Intermediate,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,56.57,E,0.5,0.5,0.28,0.47,0.38,0.44,0.49,0.44,0.45,0.33,0.39,0.0,0.37,0.45,0.5,0.5,0.48,0.43,0.33,0.39,0.43,0.48,0.47,0.4,0.49,0.29,0.42,0.25,0.5
S017,M,Intermediate,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,47.14,F,0.5,0.5,0.5,0.43,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.47,0.46,0.5,0.5,0.5,0.47,0.5,0.5,0.5,0.45,0.5,0.5,0.49,0.5,0.48,0.5,0.48
S018,M,Proficient,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,8.0,1.0,2.0,1.0,2.0,4.0,8.0,100.5,A,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.44,0.46,0.5,0.49,0.5,0.5,0.43,0.5,0.5,0.5,0.45,0.5,0.45,0.5,0.49,0.46,0.5,0.5,0.5,0.5,0.5,0.48
S019,M,Intermediate,4.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,66.29,D,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.37,0.28,0.46,0.22,0.42,0.36,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.5,0.5,0.38,0.5,0.5,0.5
S020,M,Intermediate,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,11.0,2.0,10.0,8.0,5.0,5.0,5.0,2.0,3.0,0.0,2.0,91.01,A,0.5,0.39,0.5,0.45,0.5,0.5,0.49,0.5,0.49,0.5,0.3,0.5,0.47,0.46,0.5,0.45,0.47,0.49,0.5,0.45,0.47,0.45,0.47,0.5,0.5,0.5,0.5,0.5,0.45
S021,F,Beginner,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,60.42,D,0.5,0.5,0.47,0.5,0.33,0.44,0.45,0.5,0.45,0.0,0.35,0.0,0.3,0.38,0.5,0.48,0.0,0.42,0.33,0.39,0.42,0.4,0.33,0.44,0.5,0.02,0.48,0.18,0.41
S022,F,Intermediate,2.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,6.0,2.0,3.0,1.0,2.0,5.0,5.0,4.0,7.0,5.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,51.74,E,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.46,0.5,0.5,0.31,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.26,0.5,0.5,0.5
S023,F,Beginner,5.0,7.0,5.0,8.0,5.0,7.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,7.0,9.0,17.0,5.0,20.0,7.0,12.0,0.0,2.0,0.0,0.0,65.8,D,0.5,0.5,0.42,0.49,0.0,0.47,0.5,0.44,0.48,0.0,0.43,0.0,0.34,0.37,0.5,0.49,0.26,0.5,0.5,0.49,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.32
S024,F,Novice,5.0,6.0,7.0,8.0,7.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,88.05,B,0.5,0.5,0.5,0.48,0.5,0.43,0.47,0.5,0.4,0.5,0.39,0.41,0.47,0.39,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5
S026,F,-,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,68.9,D,0.5,0.5,0.39,0.5,0.5,0.5,0.5,0.5,0.5,0.36,0.5,0.25,0.49,0.31,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.33,0.5,0.5,0.49
S027,F,Intermediate,5.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,5.0,99.0,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49
S028,M,Novice,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,0.0,3.0,2.0,1.0,7.0,3.0,1.0,86.85,B,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.44,0.5,0.44,0.5,0.49,0.39,0.5,0.48,0.38,0.45,0.5,0.46,0.5,0.5,0.46,0.5,0.5,0.5,0.48,0.29,0.47
S029,M,Novice,2.0,3.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,6.0,4.0,20.0,5.0,3.0,13.0,15.0,5.0,5.0,3.0,0.0,85.56,B,0.5,0.5,0.5,0.45,0.5,0.0,0.5,0.44,0.37,0.5,0.48,0.0,0.0,0.36,0.5,0.45,0.5,0.5,0.29,0.4,0.5,0.5,0.49,0.5,0.49,0.5,0.5,0.5,0.45
S030,M,Proficient,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,5.0,2.0,4.0,4.0,4.0,14.0,5.0,5.0,2.0,1.0,2.0,72.65,C,0.5,0.5,0.39,0.5,0.5,0.45,0.47,0.5,0.5,0.5,0.39,0.04,0.44,0.31,0.5,0.46,0.36,0.47,0.5,0.48,0.5,0.48,0.48,0.5,0.5,0.31,0.45,0.32,0.33
S031,M,Beginner,1.0,3.0,4.0,2.0,4.0,5.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,6.0,8.0,5.0,5.0,9.0,6.0,15.0,2.0,0.0,0.0,0.0,0.0,68.14,D,0.5,0.47,0.47,0.46,0.0,0.45,0.4,0.44,0.48,0.0,0.34,0.47,0.4,0.0,0.5,0.41,0.47,0.33,0.5,0.4,0.5,0.45,0.43,0.5,0.5,0.48,0.5,0.5,0.44
S033,F,Intermediate,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.97,B,0.5,0.47,0.22,0.48,0.0,0.41,0.44,0.5,0.46,0.28,0.45,0.0,0.33,0.0,0.5,0.47,0.5,0.49,0.5,0.4,0.5,0.34,0.39,0.5,0.5,0.4,0.34,0.5,0.31
S034,F,Intermediate,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,15.0,4.0,4.0,6.0,2.0,1.0,1.0,1.0,3.0,97.7,A,0.5,0.5,0.5,0.48,0.35,0.5,0.43,0.44,0.44,0.5,0.45,0.5,0.5,0.41,0.5,0.49,0.5,0.48,0.5,0.5,0.47,0.45,0.5,0.42,0.5,0.38,0.48,0.5,0.5
S035,M,Proficient,4.0,4.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,8.0,11.0,4.0,1.0,1.0,0.0,7.0,4.0,83.18,B,0.5,0.5,0.36,0.38,0.5,0.46,0.45,0.0,0.45,0.5,0.46,0.5,0.47,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.41,0.34,0.48,0.5,0.5,0.5,0.5,0.5,0.34
S036,M,Intermediate,4.0,1.0,5.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,6.0,3.0,2.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,104.0,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.43,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.45
S039,M,Beginner,6.0,4.0,10.0,5.0,5.0,3.0,1.0,3.0,9.0,3.0,2.0,1.0,12.0,1.0,3.0,2.0,3.0,3.0,12.0,4.0,9.0,16.0,28.0,9.0,8.0,9.0,3.0,0.0,0.0,89.51,B,0.5,0.48,0.5,0.48,0.33,0.48,0.44,0.5,0.4,0.5,0.45,0.0,0.49,0.05,0.5,0.5,0.38,0.43,0.2,0.45,0.45,0.49,0.43,0.48,0.45,0.26,0.4,0.0,0.36
S040,M,Beginner,1.0,7.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,7.0,15.0,3.0,11.0,2.0,3.0,4.0,1.0,3.0,9.0,95.49,A,0.5,0.47,0.5,0.4,0.5,0.42,0.39,0.5,0.46,0.5,0.4,0.5,0.42,0.29,0.5,0.49,0.5,0.45,0.5,0.5,0.5,0.4,0.46,0.5,0.5,0.5,0.45,0.5,0.5
S041,M,Intermediate,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,12.0,4.0,31.0,8.0,33.0,6.0,10.0,5.0,3.0,9.0,22.0,98.5,A,0.5,0.47,0.5,0.5,0.5,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.48,0.5,0.48
S042,F,Proficient,1.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,10.0,3.0,5.0,8.0,9.0,12.0,4.0,6.0,3.0,4.0,9.0,11.0,99.5,A,0.5,0.5,0.5,0.46,0.5,0.5,0.5,0.44,0.44,0.5,0.45,0.5,0.48,0.44,0.5,0.4,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.48
S043,M,Novice,1.0,6.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.06,F,0.5,0.5,0.0,0.36,0.0,0.15,0.0,0.0,0.23,0.0,0.33,0.0,0.0,0.0,0.5,0.5,0.5,0.45,0.5,0.49,0.5,0.44,0.49,0.0,0.5,0.0,0.31,0.0,0.22
S044,M,Proficient,3.0,8.0,4.0,2.0,7.0,2.0,1.0,2.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,2.0,3.0,9.0,4.0,2.0,7.0,1.0,2.0,14.0,6.0,99.3,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44,0.5,0.5,0.49,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
S045,F,Novice,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,42.72,F,0.5,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.39,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.36,0.5,0.5,0.5
S046,F,Novice,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,2.0,77.47,C,0.0,0.48,0.36,0.45,0.5,0.47,0.45,0.5,0.45,0.36,0.5,0.28,0.45,0.45,0.33,0.48,0.5,0.45,0.5,0.48,0.5,0.45,0.49,0.5,0.48,0.48,0.44,0.45,0.47
S047,M,Proficient,4.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,5.0,3.0,5.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,64.49,D,0.5,0.5,0.5,0.46,0.5,0.5,0.44,0.44,0.49,0.28,0.43,0.0,0.44,0.34,0.5,0.45,0.5,0.41,0.5,0.45,0.5,0.49,0.49,0.5,0.5,0.5,0.48,0.5,0.45
S048,M,Intermediate,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,6.0,6.0,5.0,4.0,10.0,3.0,4.0,4.0,2.0,25.0,1.0,92.29,A,0.5,0.5,0.5,0.45,0.5,0.44,0.45,0.5,0.44,0.5,0.43,0.5,0.4,0.19,0.5,0.48,0.5,0.44,0.5,0.35,0.5,0.45,0.4,0.5,0.49,0.5,0.4,0.5,0.33
S049,F,Intermediate,3.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,2.0,2.0,9.0,8.0,3.0,5.0,2.0,1.0,11.0,99.6,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44,0.5,0.31,0.5,0.42,0.45,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.48
S050,M,Intermediate,3.0,6.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,15.0,7.0,14.0,13.0,15.0,18.0,0.0,23.0,4.0,0.0,0.0,77.19,C,0.5,0.5,0.0,0.35,0.38,0.38,0.36,0.5,0.42,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.45,0.32,0.48,0.45,0.5,0.5,0.4,0.5,0.5,0.28
S051,F,Beginner,3.0,3.0,2.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,7.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,82.5,B,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.44,0.46,0.25,0.49,0.0,0.49,0.0,0.5,0.5,0.48,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
S052,F,Beginner,2.0,3.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,63.33,D,0.5,0.46,0.0,0.46,0.0,0.48,0.5,0.44,0.29,0.12,0.5,0.0,0.5,0.11,0.5,0.45,0.5,0.5,0.5,0.41,0.5,0.5,0.5,0.5,0.38,0.33,0.5,0.14,0.23
S053,F,Intermediate,3.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,4.0,16.0,8.0,8.0,1.0,3.0,2.0,6.0,4.0,4.0,103.9,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44,0.46,0.38,0.48,0.5,0.46,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.45,0.5,0.3,0.5
S054,M,Novice,6.0,5.0,4.0,8.0,5.0,2.0,3.0,4.0,7.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,3.0,2.0,0.0,2.0,92.8,A,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.31,0.49,0.34,0.42,0.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
S055,M,Intermediate,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,5.0,4.0,1.0,7.0,4.0,92.08,A,0.5,0.5,0.5,0.48,0.5,0.46,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.42,0.5,0.4,0.41,0.43,0.5,0.45,0.5,0.5,0.49,0.5,0.49,0.5,0.46,0.5,0.37
S056,M,-,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,7.0,0.0,1.0,1.0,3.0,0.0,0.0,67.33,D,0.5,0.47,0.5,0.4,0.5,0.43,0.41,0.44,0.34,0.5,0.4,0.5,0.24,0.36,0.5,0.48,0.5,0.35,0.5,0.33,0.5,0.45,0.45,0.48,0.44,0.5,0.48,0.5,0.4
