Student,Gender,Skill level,Week 1 quiz,Week 2 quiz,Week 3 quiz,Week 4 quiz,Week 5 quiz,Week 6 quiz,Week 7 quiz,Week 8 quiz,Week 9 quiz,Week 10 quiz,Week 11 quiz,Week 12 quiz,Week 13 quiz,Week 14 quiz,Week 15 quiz,Week 16 quiz,Week 1 homework,Week 2 homework,Week 3 homework,Week 4 homework,Week 5 homework,Week 7 homework,Week 8 homework,Week 9 homework,Week 10 homework,Week 11 homework,Week 13 homework,Week 14 homework,Week 15 homework,Score,Grade,Week 1 homework_maxscore,Week 1 quiz_maxscore,Week 10 homework_maxscore,Week 10 quiz_maxscore,Week 11 homework_maxscore,Week 11 quiz_maxscore,Week 12 quiz_maxscore,Week 13 homework_maxscore,Week 13 quiz_maxscore,Week 14 homework_maxscore,Week 14 quiz_maxscore,Week 15 homework_maxscore,Week 15 quiz_maxscore,Week 16 quiz_maxscore,Week 2 homework_maxscore,Week 2 quiz_maxscore,Week 3 homework_maxscore,Week 3 quiz_maxscore,Week 4 homework_maxscore,Week 4 quiz_maxscore,Week 5 homework_maxscore,Week 5 quiz_maxscore,Week 6 quiz_maxscore,Week 7 homework_maxscore,Week 7 quiz_maxscore,Week 8 homework_maxscore,Week 8 quiz_maxscore,Week 9 homework_maxscore,Week 9 quiz_maxscore,Week 1 homework_firstscore,Week 1 quiz_firstscore,Week 10 homework_firstscore,Week 10 quiz_firstscore,Week 11 homework_firstscore,Week 11 quiz_firstscore,Week 12 quiz_firstscore,Week 13 homework_firstscore,Week 13 quiz_firstscore,Week 14 homework_firstscore,Week 14 quiz_firstscore,Week 15 homework_firstscore,Week 15 quiz_firstscore,Week 16 quiz_firstscore,Week 2 homework_firstscore,Week 2 quiz_firstscore,Week 3 homework_firstscore,Week 3 quiz_firstscore,Week 4 homework_firstscore,Week 4 quiz_firstscore,Week 5 homework_firstscore,Week 5 quiz_firstscore,Week 6 quiz_firstscore,Week 7 homework_firstscore,Week 7 quiz_firstscore,Week 8 homework_firstscore,Week 8 quiz_firstscore,Week 9 homework_firstscore,Week 9 quiz_firstscore,Week 1 homework_lastscore,Week 1 quiz_lastscore,Week 10 homework_lastscore,Week 10 quiz_lastscore,Week 11 homework_lastscore,Week 11 quiz_lastscore,Week 12 quiz_lastscore,Week 13 homework_lastscore,Week 13 quiz_lastscore,Week 14 homework_lastscore,Week 14 quiz_lastscore,Week 15 homework_lastscore,Week 15 quiz_lastscore,Week 16 quiz_lastscore,Week 2 homework_lastscore,Week 2 quiz_lastscore,Week 3 homework_lastscore,Week 3 quiz_lastscore,Week 4 homework_lastscore,Week 4 quiz_lastscore,Week 5 homework_lastscore,Week 5 quiz_lastscore,Week 6 quiz_lastscore,Week 7 homework_lastscore,Week 7 quiz_lastscore,Week 8 homework_lastscore,Week 8 quiz_lastscore,Week 9 homework_lastscore,Week 9 quiz_lastscore,attempts_sum,maxscore_sum,cluster_label,Logistic Regression,K-Nearest Neighbors,Support Vector Machine,Decision Tree
S013,M,Proficient,1.0,6.0,14.0,6.0,7.0,3.0,5.0,4.0,5.0,6.0,4.0,5.0,2.0,4.0,1.0,0.0,0.0,3.0,20.0,9.0,13.0,3.0,17.0,13.0,5.0,0.0,0.0,0.0,0.0,95.61,A,0.0,0.0,0.22,0.49,0.0,0.44,0.4,0.0,0.4,0.0,0.45,0.0,0.0,0.0,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.48,0.45,0.5,0.49,0.33,0.5,0.5,0.46,0.0,0.0,0.0,0.29,0.0,0.44,0.34,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.47,0.43,0.26,0.28,0.33,0.28,0.26,0.19,0.31,0.31,0.41,0.24,0.44,0.0,0.32,0.0,0.0,0.22,0.49,0.0,0.44,0.02,0.0,0.4,0.0,0.45,0.0,0.0,0.0,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.48,0.45,0.5,0.0,0.33,0.5,0.5,0.46,156.0,9.59,0,0,0,0,0
S014,M,Intermediate,4.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,6.0,5.0,3.0,1.0,2.0,5.0,98.84,A,0.5,0.5,0.5,0.5,0.5,0.43,0.0,0.5,0.4,0.5,0.43,0.5,0.38,0.49,0.5,0.46,0.5,0.44,0.5,0.45,0.5,0.48,0.45,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.37,0.11,0.5,0.15,0.43,0.0,0.5,0.4,0.38,0.34,0.12,0.38,0.49,0.5,0.43,0.36,0.36,0.5,0.45,0.34,0.44,0.38,0.42,0.5,0.45,0.36,0.3,0.45,0.5,0.5,0.5,0.5,0.5,0.43,0.0,0.5,0.4,0.5,0.43,0.5,0.38,0.49,0.5,0.46,0.5,0.44,0.5,0.45,0.5,0.48,0.45,0.5,0.5,0.5,0.5,0.5,0.45,63.0,13.359999999999998,1,1,1,1,1
S015,F,Proficient,4.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,2.0,1.0,4.0,4.0,3.0,2.0,2.0,5.0,3.0,6.0,2.0,4.0,0.0,0.0,97.48,A,0.5,0.45,0.5,0.5,0.5,0.44,0.5,0.5,0.47,0.0,0.45,0.0,0.0,0.35,0.5,0.48,0.5,0.41,0.5,0.45,0.5,0.44,0.48,0.5,0.48,0.02,0.4,0.5,0.48,0.5,0.35,0.19,0.45,0.15,0.44,0.39,0.44,0.47,0.0,0.39,0.0,0.0,0.35,0.36,0.44,0.1,0.31,0.38,0.26,0.37,0.39,0.39,0.42,0.48,0.0,0.4,0.2,0.35,0.5,0.45,0.5,0.5,0.5,0.44,0.5,0.5,0.47,0.0,0.45,0.0,0.0,0.35,0.5,0.48,0.5,0.41,0.5,0.45,0.5,0.44,0.48,0.5,0.48,0.02,0.4,0.5,0.48,73.0,11.8,1,1,1,1,1
S016,M,Intermediate,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,56.57,E,0.5,0.47,0.28,0.47,0.38,0.44,0.49,0.0,0.32,0.0,0.0,0.0,0.37,0.45,0.5,0.45,0.07,0.43,0.21,0.38,0.08,0.3,0.47,0.23,0.48,0.02,0.4,0.25,0.38,0.26,0.31,0.28,0.47,0.15,0.44,0.49,0.0,0.32,0.0,0.0,0.0,0.27,0.45,0.45,0.45,0.05,0.43,0.21,0.25,0.08,0.3,0.47,0.23,0.48,0.02,0.4,0.25,0.38,0.5,0.47,0.28,0.47,0.38,0.44,0.49,0.0,0.32,0.0,0.0,0.0,0.37,0.45,0.5,0.45,0.07,0.43,0.21,0.38,0.08,0.3,0.47,0.23,0.48,0.02,0.4,0.25,0.38,43.0,8.82,2,2,2,1,2
S017,M,Intermediate,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,47.14,F,0.5,0.49,0.0,0.41,0.0,0.0,0.16,0.28,0.36,0.0,0.0,0.0,0.0,0.0,0.5,0.39,0.43,0.0,0.0,0.35,0.24,0.39,0.36,0.44,0.49,0.1,0.0,0.27,0.23,0.26,0.49,0.0,0.41,0.0,0.0,0.16,0.28,0.36,0.0,0.0,0.0,0.0,0.0,0.47,0.35,0.43,0.0,0.0,0.35,0.24,0.37,0.36,0.42,0.49,0.1,0.0,0.27,0.23,0.5,0.49,0.0,0.41,0.0,0.0,0.16,0.28,0.36,0.0,0.0,0.0,0.0,0.0,0.5,0.39,0.43,0.0,0.0,0.35,0.24,0.39,0.36,0.44,0.49,0.1,0.0,0.27,0.23,29.0,6.390000000000001,2,2,2,2,2
S018,M,Proficient,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,8.0,1.0,2.0,1.0,2.0,4.0,8.0,100.5,A,0.5,0.48,0.5,0.49,0.5,0.46,0.48,0.44,0.4,0.5,0.49,0.5,0.5,0.32,0.5,0.5,0.5,0.45,0.5,0.45,0.47,0.49,0.45,0.48,0.49,0.5,0.5,0.5,0.48,0.5,0.42,0.47,0.49,0.5,0.46,0.48,0.44,0.4,0.38,0.43,0.12,0.37,0.32,0.5,0.41,0.47,0.45,0.5,0.43,0.29,0.49,0.42,0.23,0.49,0.26,0.5,0.5,0.48,0.5,0.48,0.5,0.49,0.5,0.46,0.48,0.44,0.15,0.5,0.49,0.5,0.5,0.32,0.5,0.5,0.5,0.45,0.5,0.45,0.47,0.49,0.45,0.48,0.49,0.5,0.5,0.5,0.48,63.0,13.82,1,1,1,1,1
S019,M,Intermediate,4.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,66.29,D,0.5,0.5,0.5,0.49,0.0,0.0,0.45,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.48,0.5,0.39,0.49,0.5,0.45,0.38,0.49,0.48,0.27,0.5,0.48,0.5,0.49,0.0,0.0,0.45,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.41,0.0,0.36,0.5,0.4,0.16,0.37,0.43,0.25,0.45,0.38,0.49,0.48,0.27,0.5,0.5,0.5,0.49,0.0,0.0,0.45,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.48,0.5,0.39,0.49,0.5,0.45,0.38,0.49,0.48,0.27,41.0,9.31,1,1,1,1,1
S020,M,Intermediate,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,11.0,2.0,10.0,8.0,5.0,5.0,5.0,2.0,3.0,0.0,2.0,91.01,A,0.5,0.39,0.28,0.32,0.35,0.43,0.45,0.33,0.29,0.0,0.3,0.42,0.3,0.31,0.5,0.45,0.47,0.46,0.5,0.31,0.47,0.45,0.46,0.48,0.44,0.48,0.35,0.25,0.3,0.26,0.39,0.28,0.32,0.12,0.43,0.33,0.06,0.29,0.0,0.29,0.42,0.3,0.31,0.43,0.33,0.28,0.29,0.44,0.31,0.16,0.29,0.46,0.02,0.44,0.31,0.35,0.0,0.23,0.5,0.39,0.28,0.32,0.35,0.43,0.45,0.33,0.29,0.0,0.3,0.33,0.3,0.31,0.5,0.45,0.47,0.46,0.5,0.31,0.47,0.45,0.46,0.48,0.44,0.48,0.35,0.25,0.3,80.0,11.040000000000001,1,1,1,1,1
S021,F,Beginner,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,60.42,D,0.5,0.38,0.0,0.41,0.0,0.43,0.45,0.44,0.16,0.0,0.35,0.0,0.0,0.0,0.5,0.35,0.0,0.31,0.33,0.35,0.42,0.3,0.33,0.04,0.48,0.02,0.43,0.18,0.41,0.5,0.31,0.0,0.41,0.0,0.43,0.45,0.44,0.16,0.0,0.35,0.0,0.0,0.0,0.5,0.25,0.0,0.31,0.33,0.23,0.42,0.3,0.33,0.04,0.42,0.02,0.43,0.18,0.41,0.5,0.38,0.0,0.41,0.0,0.43,0.45,0.44,0.16,0.0,0.35,0.0,0.0,0.0,0.5,0.35,0.0,0.05,0.33,0.35,0.42,0.3,0.33,0.0,0.48,0.02,0.43,0.18,0.41,31.0,7.5699999999999985,2,2,2,2,2
S022,F,Intermediate,2.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,6.0,2.0,3.0,1.0,2.0,5.0,5.0,4.0,7.0,5.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,51.74,E,0.5,0.45,0.0,0.45,0.0,0.31,0.5,0.5,0.32,0.0,0.4,0.0,0.31,0.2,0.5,0.3,0.5,0.25,0.2,0.28,0.47,0.22,0.28,0.44,0.44,0.26,0.35,0.43,0.22,0.26,0.31,0.0,0.44,0.0,0.31,0.35,0.5,0.32,0.0,0.4,0.0,0.31,0.2,0.34,0.3,0.03,0.15,0.05,0.28,0.11,0.22,0.21,0.19,0.35,0.26,0.33,0.41,0.22,0.5,0.45,0.0,0.45,0.0,0.31,0.5,0.5,0.31,0.0,0.4,0.0,0.27,0.2,0.5,0.3,0.5,0.25,0.2,0.28,0.47,0.0,0.28,0.44,0.44,0.26,0.35,0.41,0.22,73.0,9.08,1,1,1,1,1
S023,F,Beginner,5.0,7.0,5.0,8.0,5.0,7.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,7.0,9.0,17.0,5.0,20.0,7.0,12.0,0.0,2.0,0.0,0.0,65.8,D,0.5,0.47,0.42,0.46,0.0,0.47,0.5,0.44,0.45,0.0,0.43,0.0,0.34,0.37,0.5,0.49,0.26,0.5,0.5,0.45,0.5,0.45,0.44,0.42,0.5,0.5,0.5,0.5,0.32,0.26,0.39,0.0,0.43,0.0,0.35,0.44,0.39,0.05,0.0,0.29,0.0,0.34,0.24,0.14,0.23,0.0,0.21,0.2,0.24,0.26,0.17,0.19,0.17,0.4,0.0,0.16,0.0,0.17,0.5,0.47,0.42,0.46,0.0,0.47,0.5,0.44,0.45,0.0,0.43,0.0,0.34,0.37,0.5,0.49,0.26,0.5,0.42,0.45,0.45,0.45,0.44,0.42,0.5,0.5,0.5,0.5,0.0,148.0,11.68,0,0,0,0,0
