Student,Gender,Skill level,Week 1 quiz,Week 2 quiz,Week 3 quiz,Week 4 quiz,Week 5 quiz,Week 6 quiz,Week 7 quiz,Week 8 quiz,Week 9 quiz,Week 10 quiz,Week 11 quiz,Week 12 quiz,Week 13 quiz,Week 14 quiz,Week 15 quiz,Week 16 quiz,Week 1 homework,Week 2 homework,Week 3 homework,Week 4 homework,Week 5 homework,Week 7 homework,Week 8 homework,Week 9 homework,Week 10 homework,Week 11 homework,Week 13 homework,Week 14 homework,Week 15 homework,Score,Grade,Week 1 homework maxscore,Week 1 quiz maxscore,Week 10 homework maxscore,Week 10 quiz maxscore,Week 11 homework maxscore,Week 11 quiz maxscore,Week 12 quiz maxscore,Week 13 homework maxscore,Week 13 quiz maxscore,Week 14 homework maxscore,Week 14 quiz maxscore,Week 15 homework maxscore,Week 15 quiz maxscore,Week 16 quiz maxscore,Week 2 homework maxscore,Week 2 quiz maxscore,Week 3 homework maxscore,Week 3 quiz maxscore,Week 4 homework maxscore,Week 4 quiz maxscore,Week 5 homework maxscore,Week 5 quiz maxscore,Week 6 quiz maxscore,Week 7 homework maxscore,Week 7 quiz maxscore,Week 8 homework maxscore,Week 8 quiz maxscore,Week 9 homework maxscore,Week 9 quiz maxscore,Sum1,Sum2
S035,M,Proficient,4,4,2,3,6,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,0,8,11,4,1,1,0,7,4,83.18,B,0.5,0.5,0.36,0.38,0.5,0.46,0.45,0,0.45,0.5,0.46,0.5,0.47,0,0.5,0.5,0.5,0.5,0.5,0.5,0.41,0.34,0.48,0.5,0.5,0.5,0.5,0.5,0.34,74,12.6
S036,M,Intermediate,4,1,5,4,2,1,1,2,3,3,3,2,6,3,2,1,2,1,5,1,5,2,2,1,2,1,1,7,1,104,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.43,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.45,74,14.36
S039,M,Beginner,6,4,10,5,5,3,1,3,9,3,2,1,12,1,3,2,3,3,12,4,9,16,28,9,8,9,3,0,0,89.51,B,0.5,0.48,0.5,0.48,0.33,0.48,0.44,0.5,0.4,0.5,0.45,0,0.49,0.05,0.5,0.5,0.38,0.43,0.2,0.45,0.45,0.49,0.43,0.48,0.45,0.26,0.4,0,0.36,174,11.38
S040,M,Beginner,1,7,4,3,2,3,1,1,2,1,2,1,1,3,1,0,1,3,3,7,15,3,11,2,3,4,1,3,9,95.49,A,0.5,0.47,0.5,0.4,0.5,0.42,0.39,0.5,0.46,0.5,0.4,0.5,0.42,0.29,0.5,0.49,0.5,0.45,0.5,0.5,0.5,0.4,0.46,0.5,0.5,0.5,0.45,0.5,0.5,98,13.5
S041,M,Intermediate,2,1,2,2,2,1,1,2,3,1,1,3,2,3,2,1,1,4,12,4,31,8,33,6,10,5,3,9,22,98.5,A,0.5,0.47,0.5,0.5,0.5,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.48,0.5,0.48,177,14.27
S042,F,Proficient,1,2,3,4,3,1,2,1,3,2,1,1,2,2,2,1,2,10,3,5,8,9,12,4,6,3,4,9,11,99.5,A,0.5,0.5,0.5,0.46,0.5,0.5,0.5,0.44,0.44,0.5,0.45,0.5,0.48,0.44,0.5,0.4,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.48,117,14.02
S043,M,Novice,1,6,4,2,1,4,1,2,1,2,1,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,28.06,F,0.5,0.5,0,0.36,0,0.15,0,0,0.23,0,0.33,0,0,0,0.5,0.5,0.5,0.45,0.5,0.49,0.5,0.44,0.49,0,0.5,0,0.31,0,0.22,34,7.47
S044,M,Proficient,3,8,4,2,7,2,1,2,3,1,5,3,5,5,3,1,1,1,5,2,3,9,4,2,7,1,2,14,6,99.3,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44,0.5,0.5,0.49,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,112,14.37
S045,F,Novice,2,5,2,2,1,2,1,2,1,1,1,1,1,0,1,0,1,3,2,2,1,1,0,1,1,0,0,0,0,42.72,F,0.5,0.44,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.39,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.36,0.5,0.5,0.5,35,14.19
S046,F,Novice,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,3,1,3,2,1,0,2,77.47,C,0,0.48,0.36,0.45,0.5,0.47,0.45,0.5,0.45,0.36,0.5,0.28,0.45,0.45,0.33,0.48,0.5,0.45,0.5,0.48,0.5,0.45,0.49,0.5,0.48,0.48,0.44,0.45,0.47,42,12.7
S047,M,Proficient,4,5,2,1,2,1,1,1,1,1,1,1,1,2,0,1,2,2,5,3,5,4,15,0,0,0,0,0,0,64.49,D,0.5,0.5,0.5,0.46,0.5,0.5,0.44,0.44,0.49,0.28,0.43,0,0.44,0.34,0.5,0.45,0.5,0.41,0.5,0.45,0.5,0.49,0.49,0.5,0.5,0.5,0.48,0.5,0.45,61,13.04
S048,M,Intermediate,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,3,4,6,6,5,4,10,3,4,4,2,25,1,92.29,A,0.5,0.5,0.5,0.45,0.5,0.44,0.45,0.5,0.44,0.5,0.43,0.5,0.4,0.19,0.5,0.48,0.5,0.44,0.5,0.35,0.5,0.45,0.4,0.5,0.49,0.5,0.4,0.5,0.33,93,13.14
S049,F,Intermediate,3,1,3,2,4,1,2,2,3,1,1,1,3,1,1,2,2,1,8,1,2,2,9,8,3,5,2,1,11,99.6,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44,0.5,0.31,0.5,0.42,0.45,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.48,86,14.06
S050,M,Intermediate,3,6,2,3,4,3,1,2,3,0,2,1,2,0,0,1,1,4,15,7,14,13,15,18,0,23,4,0,0,77.19,C,0.5,0.5,0,0.35,0.38,0.38,0.36,0.5,0.42,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.45,0.32,0.48,0.45,0.5,0.5,0.4,0.5,0.5,0.28,147,10.27
S051,F,Beginner,3,3,2,5,3,4,2,2,3,2,3,2,1,3,2,0,1,2,2,1,7,3,1,1,0,0,1,1,0,82.5,B,0.5,0.5,0,0.5,0,0.5,0.5,0.44,0.46,0.25,0.49,0,0.49,0,0.5,0.5,0.48,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60,12.09
S052,F,Beginner,2,3,4,2,3,4,1,1,2,2,3,4,1,5,1,1,1,2,3,1,2,2,2,1,2,2,1,1,1,63.33,D,0.5,0.46,0,0.46,0,0.48,0.5,0.44,0.29,0.12,0.5,0,0.5,0.11,0.5,0.45,0.5,0.5,0.5,0.41,0.5,0.5,0.5,0.5,0.38,0.33,0.5,0.14,0.23,60,10.8
S053,F,Intermediate,3,2,4,2,3,1,1,1,1,1,2,3,3,2,2,1,1,1,6,4,16,8,8,1,3,2,6,4,4,103.9,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.44,0.46,0.38,0.48,0.5,0.46,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.45,0.5,0.3,0.5,96,13.94
S054,M,Novice,6,5,4,8,5,2,3,4,7,3,3,2,3,2,4,2,2,1,2,1,1,2,4,2,5,3,2,0,2,92.8,A,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.31,0.49,0.34,0.42,0.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,90,13.93
S055,M,Intermediate,1,2,3,2,2,3,2,1,2,1,2,1,2,1,2,1,1,3,3,4,2,3,3,1,5,4,1,7,4,92.08,A,0.5,0.5,0.5,0.48,0.5,0.46,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.42,0.5,0.4,0.41,0.43,0.5,0.45,0.5,0.5,0.49,0.5,0.49,0.5,0.46,0.5,0.37,69,13.81
S056,M,-,1,2,1,1,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,0,2,2,7,0,1,1,3,0,0,67.33,D,0.5,0.47,0.5,0.4,0.5,0.43,0.41,0.44,0.34,0.5,0.4,0.5,0.24,0.36,0.5,0.48,0.5,0.35,0.5,0.33,0.5,0.45,0.45,0.48,0.44,0.5,0.48,0.5,0.4,35,12.85
S057,M,Proficient,1,5,4,3,3,1,1,3,3,3,3,1,1,7,4,5,1,3,2,1,5,3,4,3,2,1,2,11,10,107.5,A,0.5,0.5,0.5,0.49,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.46,96,14.43
S058,M,-,0,1,1,1,1,4,1,1,1,1,1,10,2,1,1,0,1,1,2,1,4,0,8,4,4,0,6,0,0,89.26,B,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.45,0.39,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.43,0.45,0.5,0.5,0.5,0.5,0.5,0.5,58,14.12
S059,M,Intermediate,2,1,4,1,1,3,1,1,3,2,1,0,1,2,2,0,2,1,1,1,1,4,1,15,20,7,4,15,27,87.29,B,0.5,0.49,0.5,0.36,0.5,0.42,0,0.5,0.44,0.25,0.33,0.33,0.42,0,0.5,0.49,0.5,0.41,0.42,0.45,0.21,0.39,0.34,0.48,0.5,0.33,0.49,0.5,0.49,124,11.54
S060,F,Beginner,2,2,2,3,2,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,15.59,F,0.5,0.5,0.39,0.45,0.03,0.45,0.38,0.44,0.42,0.5,0.5,0.12,0.21,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.21,0.47,22,12.35
S061,F,Intermediate,4,5,4,5,3,4,2,3,7,4,3,4,1,10,6,2,1,1,11,6,11,11,22,8,10,5,0,2,13,74.9,C,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.42,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,168,14.4
S062,F,Proficient,2,3,3,3,2,4,1,2,3,3,1,1,1,1,1,1,1,3,7,7,6,6,15,3,6,2,5,13,8,97.5,A,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.5,0.47,0.5,0.5,0.5,0.47,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,114,14.37
S063,F,Proficient,3,2,3,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,7,3,13,11,14,2,2,2,14,3,2,95.47,A,0.5,0.5,0.5,0.48,0.5,0.48,0.49,0.44,0.42,0.5,0.38,0.33,0.45,0,0.5,0.48,0.5,0.44,0.5,0.43,0.5,0.48,0.45,0.5,0.5,0.5,0.45,0.5,0.38,96,13.08
S066,F,Proficient,1,4,2,4,2,1,1,3,3,1,0,2,4,3,3,1,1,1,2,1,9,3,1,3,4,0,1,2,4,95.5,A,0.5,0.5,0.5,0.5,0.5,0.46,0.41,0.5,0.5,0.5,0.5,0.5,0.5,0.41,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.48,67,14.24
S067,M,-,4,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,3,0,10,2,0,5,2,0,1,2,0,4,1,79.2,C,0.5,0.5,0.5,0.46,0.33,0.43,0.45,0.5,0.48,0.5,0.48,0,0.34,0.4,0.5,0.49,0.5,0.45,0.5,0.48,0.46,0.5,0.48,0.5,0.5,0.5,0.45,0.21,0.43,53,12.82
S068,M,Intermediate,2,2,3,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,4,5,2,0,1,0,1,0,1,0,0,61.67,D,0.5,0.48,0.5,0.37,0.5,0.39,0.27,0.44,0.42,0.5,0.45,0.44,0.39,0.16,0.5,0.5,0.5,0.5,0.41,0.5,0.45,0.48,0.45,0.5,0.5,0.5,0.41,0.5,0.37,37,12.88
S069,M,Intermediate,1,2,4,1,6,3,2,2,1,6,3,3,2,7,2,1,1,1,4,1,4,3,8,11,1,6,1,9,9,100.2,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,105,14.46
S070,F,Intermediate,3,0,2,1,1,1,1,1,1,1,0,2,0,1,0,0,1,0,1,1,0,4,1,2,1,0,2,1,2,57.54,E,0.5,0.5,0,0.43,0,0.28,0.5,0,0.05,0.12,0,0.25,0,0,0.5,0.5,0.1,0.45,0.21,0.45,0,0.49,0.39,0.46,0.44,0.02,0.45,0.27,0.34,31,7.7
S071,M,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.86,F,0.5,0.5,0.5,0.5,0.33,0.5,0.5,0.5,0.5,0.5,0.5,0.38,0.5,0.5,0.5,0.5,0.48,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.5,0.33,0.5,0.46,0.5,2,13.95
S072,M,Proficient,2,2,1,2,1,2,1,2,2,1,1,1,3,1,2,1,1,3,5,2,4,2,3,2,10,1,2,4,6,99,A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.43,0.5,0.45,0.44,0.5,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.49,0.5,0.5,0.5,0.5,0.5,0.5,70,14.3
